ID,Answer,Positive color percentage,Negative color percentage,Is fullscreen,Reaction time in secs,Answer date and time,Total points at the time,Browser
0001651605674589,A,46,54,true,404,Tue May 03 2022 21:21:45 GMT+0200 (Central European Summer Time),-10,Mozilla Firefox
0001651605674589,A,54,46,true,127,Tue May 03 2022 21:21:45 GMT+0200 (Central European Summer Time),0,Mozilla Firefox
0001651605674589,A,52,48,true,170,Tue May 03 2022 21:21:46 GMT+0200 (Central European Summer Time),10,Mozilla Firefox
0001651605674589,A,48,52,true,170,Tue May 03 2022 21:21:46 GMT+0200 (Central European Summer Time),0,Mozilla Firefox
0001651605674589,A,50,50,true,322,Tue May 03 2022 21:21:47 GMT+0200 (Central European Summer Time),0,Mozilla Firefox
