ID,Answer,Positive color percentage,Negative color percentage,Is fullscreen,Reaction time in secs,Answer date and time,Total points at the time,Browser
0001651605675396,A,46,54,true,502,Tue May 03 2022 21:22:04 GMT+0200 (Central European Summer Time),-10,Mozilla Firefox
0001651605675396,A,48,52,true,111,Tue May 03 2022 21:22:04 GMT+0200 (Central European Summer Time),-20,Mozilla Firefox
0001651605675396,A,52,48,true,131,Tue May 03 2022 21:22:04 GMT+0200 (Central European Summer Time),-10,Mozilla Firefox
0001651605675396,A,50,50,true,111,Tue May 03 2022 21:22:05 GMT+0200 (Central European Summer Time),-10,Mozilla Firefox
0001651605675396,A,54,46,true,278,Tue May 03 2022 21:22:05 GMT+0200 (Central European Summer Time),0,Mozilla Firefox
